version,description,n_words,fold,vocabulary_size,training_documents,training_spam,training_ham,testing_documents,correct,accuracy,TP,TN,FP,FN,spam_precision,spam_recall,prior_spam,prior_ham,spam_word_positions,ham_word_positions
lemm_stop,"Lemmatized, stop-words removed",500,8,500,2604,433,2171,289,279,0.9653979238754326,46,233,8,2,0.8518518518518519,0.9583333333333334,0.1662826420890937,0.8337173579109063,69697,287891
lemm_stop,"Lemmatized, stop-words removed",500,9,500,2604,433,2171,289,281,0.972318339100346,42,239,2,6,0.9545454545454546,0.875,0.1662826420890937,0.8337173579109063,67295,275680
lemm_stop,"Lemmatized, stop-words removed",500,10,500,2602,432,2170,291,288,0.9896907216494846,46,242,0,3,1.0,0.9387755102040817,0.1660261337432744,0.8339738662567256,71601,264732
lemm_stop,"Lemmatized, stop-words removed",1000,1,1000,2604,433,2171,289,279,0.9653979238754326,46,233,8,2,0.8518518518518519,0.9583333333333334,0.1662826420890937,0.8337173579109063,87344,374666
lemm_stop,"Lemmatized, stop-words removed",1000,2,1000,2604,433,2171,289,285,0.986159169550173,47,238,3,1,0.94,0.9791666666666666,0.1662826420890937,0.8337173579109063,88522,363244
lemm_stop,"Lemmatized, stop-words removed",1000,3,1000,2604,433,2171,289,283,0.9792387543252595,48,235,6,0,0.8888888888888888,1.0,0.1662826420890937,0.8337173579109063,82024,364641
lemm_stop,"Lemmatized, stop-words removed",1000,4,1000,2604,433,2171,289,286,0.9896193771626297,48,238,3,0,0.9411764705882353,1.0,0.1662826420890937,0.8337173579109063,86323,359221
lemm_stop,"Lemmatized, stop-words removed",1000,5,1000,2603,433,2170,290,286,0.9862068965517241,44,242,0,4,1.0,0.9166666666666666,0.16634652324241261,0.8336534767575874,90470,355323
lemm_stop,"Lemmatized, stop-words removed",1000,6,1000,2604,433,2171,289,289,1.0,48,241,0,0,1.0,1.0,0.1662826420890937,0.8337173579109063,79790,350686
lemm_stop,"Lemmatized, stop-words removed",1000,7,1000,2604,433,2171,289,285,0.986159169550173,47,238,3,1,0.94,0.9791666666666666,0.1662826420890937,0.8337173579109063,85899,352815
lemm_stop,"Lemmatized, stop-words removed",1000,8,1000,2604,433,2171,289,280,0.9688581314878892,46,234,7,2,0.8679245283018868,0.9583333333333334,0.1662826420890937,0.8337173579109063,90129,371166
lemm_stop,"Lemmatized, stop-words removed",1000,9,1000,2604,433,2171,289,283,0.9792387543252595,42,241,0,6,1.0,0.875,0.1662826420890937,0.8337173579109063,87079,355418
lemm_stop,"Lemmatized, stop-words removed",1000,10,1000,2602,432,2170,291,288,0.9896907216494846,46,242,0,3,1.0,0.9387755102040817,0.1660261337432744,0.8339738662567256,91702,342398
lemm_stop,"Lemmatized, stop-words removed",5000,1,5000,2604,433,2171,289,285,0.986159169550173,47,238,3,1,0.94,0.9791666666666666,0.1662826420890937,0.8337173579109063,118032,530279
lemm_stop,"Lemmatized, stop-words removed",5000,2,5000,2604,433,2171,289,284,0.9826989619377162,47,237,4,1,0.9215686274509803,0.9791666666666666,0.1662826420890937,0.8337173579109063,119525,513933
lemm_stop,"Lemmatized, stop-words removed",5000,3,5000,2604,433,2171,289,286,0.9896193771626297,48,238,3,0,0.9411764705882353,1.0,0.1662826420890937,0.8337173579109063,112009,514846
lemm_stop,"Lemmatized, stop-words removed",5000,4,5000,2604,433,2171,289,285,0.986159169550173,48,237,4,0,0.9230769230769231,1.0,0.1662826420890937,0.8337173579109063,116809,508872
lemm_stop,"Lemmatized, stop-words removed",5000,5,5000,2603,433,2170,290,287,0.9896551724137931,45,242,0,3,1.0,0.9375,0.16634652324241261,0.8336534767575874,121501,504423
lemm_stop,"Lemmatized, stop-words removed",5000,6,5000,2604,433,2171,289,289,1.0,48,241,0,0,1.0,1.0,0.1662826420890937,0.8337173579109063,107787,499884
lemm_stop,"Lemmatized, stop-words removed",5000,7,5000,2604,433,2171,289,287,0.9930795847750865,47,240,1,1,0.9791666666666666,0.9791666666666666,0.1662826420890937,0.8337173579109063,116144,500940
lemm_stop,"Lemmatized, stop-words removed",5000,8,5000,2604,433,2171,289,285,0.986159169550173,48,237,4,0,0.9230769230769231,1.0,0.1662826420890937,0.8337173579109063,121943,524332
lemm_stop,"Lemmatized, stop-words removed",5000,9,5000,2604,433,2171,289,282,0.9757785467128027,42,240,1,6,0.9767441860465116,0.875,0.1662826420890937,0.8337173579109063,117270,504084
lemm_stop,"Lemmatized, stop-words removed",5000,10,5000,2602,432,2170,291,288,0.9896907216494846,46,242,0,3,1.0,0.9387755102040817,0.1660261337432744,0.8339738662567256,122693,486463
lemm_stop,"Lemmatized, stop-words removed",all,1,46634,2604,433,2171,289,287,0.9930795847750865,47,240,1,1,0.9791666666666666,0.9791666666666666,0.1662826420890937,0.8337173579109063,131869,634914
lemm_stop,"Lemmatized, stop-words removed",all,2,46203,2604,433,2171,289,286,0.9896193771626297,48,238,3,0,0.9411764705882353,1.0,0.1662826420890937,0.8337173579109063,133366,616257
lemm_stop,"Lemmatized, stop-words removed",all,3,46136,2604,433,2171,289,286,0.9896193771626297,48,238,3,0,0.9411764705882353,1.0,0.1662826420890937,0.8337173579109063,125324,617442
lemm_stop,"Lemmatized, stop-words removed",all,4,45328,2604,433,2171,289,286,0.9896193771626297,47,239,2,1,0.9591836734693877,0.9791666666666666,0.1662826420890937,0.8337173579109063,130103,608796
lemm_stop,"Lemmatized, stop-words removed",all,5,45913,2603,433,2170,290,287,0.9896551724137931,45,242,0,3,1.0,0.9375,0.16634652324241261,0.8336534767575874,135052,605085
lemm_stop,"Lemmatized, stop-words removed",all,6,46448,2604,433,2171,289,289,1.0,48,241,0,0,1.0,1.0,0.1662826420890937,0.8337173579109063,121239,600962
lemm_stop,"Lemmatized, stop-words removed",all,7,46956,2604,433,2171,289,288,0.9965397923875432,47,241,0,1,1.0,0.9791666666666666,0.1662826420890937,0.8337173579109063,130045,603269
lemm_stop,"Lemmatized, stop-words removed",all,8,46381,2604,433,2171,289,286,0.9896193771626297,48,238,3,0,0.9411764705882353,1.0,0.1662826420890937,0.8337173579109063,135762,627912
lemm_stop,"Lemmatized, stop-words removed",all,9,46409,2604,433,2171,289,282,0.9757785467128027,42,240,1,6,0.9767441860465116,0.875,0.1662826420890937,0.8337173579109063,130672,605693
lemm_stop,"Lemmatized, stop-words removed",all,10,46034,2602,432,2170,291,288,0.9896907216494846,46,242,0,3,1.0,0.9387755102040817,0.1660261337432744,0.8339738662567256,135789,585153
