version,n_words,lambda,fold,testing_documents,number_spam,number_ham,correct,accuracy,TP,TN,FP,FN,spam_precision,spam_recall,weighted_accuracy,baseline_weighted_accuracy,TCR
bare,50,99,7,289,48,241,275,0.9515570934256056,40,235,6,8,0.8695652173913043,0.8333333333333334,0.974819090642908,0.9979922198519262,0.07973421926910298
bare,50,1,8,289,48,241,260,0.8996539792387543,39,221,20,9,0.6610169491525424,0.8125,0.8996539792387543,0.8339100346020761,1.6551724137931034
bare,50,9,8,289,48,241,265,0.916955017301038,39,226,15,9,0.7222222222222222,0.8125,0.9350473612990527,0.9783491204330176,0.3333333333333333
bare,50,99,8,289,48,241,264,0.9134948096885813,35,229,12,13,0.7446808510638298,0.7291666666666666,0.9497636675450705,0.9979922198519262,0.03996669442131557
bare,50,1,9,289,48,241,268,0.9273356401384083,38,230,11,10,0.7755102040816326,0.7916666666666666,0.9273356401384083,0.8339100346020761,2.2857142857142856
bare,50,9,9,289,48,241,271,0.9377162629757786,38,233,8,10,0.8260869565217391,0.7916666666666666,0.9630130807397383,0.9783491204330176,0.5853658536585366
bare,50,99,9,289,48,241,271,0.9377162629757786,37,234,7,11,0.8409090909090909,0.7708333333333334,0.9705525578282511,0.9979922198519262,0.06818181818181818
bare,50,1,10,291,49,242,283,0.9725085910652921,42,241,1,7,0.9767441860465116,0.8571428571428571,0.9725085910652921,0.8316151202749141,6.125
bare,50,9,10,291,49,242,281,0.9656357388316151,40,241,1,9,0.975609756097561,0.8163265306122449,0.9919173776380781,0.9779973057925461,2.7222222222222223
bare,50,99,10,291,49,242,279,0.9587628865979382,38,241,1,11,0.9743589743589743,0.7755102040816326,0.9954180030824343,0.9979589286458116,0.44545454545454544
bare,100,1,1,289,48,241,270,0.9342560553633218,47,223,18,1,0.7230769230769231,0.9791666666666666,0.9342560553633218,0.8339100346020761,2.526315789473684
bare,100,9,1,289,48,241,277,0.9584775086505191,46,231,10,2,0.8214285714285714,0.9583333333333334,0.9585024808299504,0.9783491204330176,0.5217391304347826
bare,100,99,1,289,48,241,281,0.972318339100346,45,236,5,3,0.9,0.9375,0.9791692809637345,0.9979922198519262,0.0963855421686747
bare,100,1,2,289,48,241,268,0.9273356401384083,43,225,16,5,0.7288135593220338,0.8958333333333334,0.9273356401384083,0.8339100346020761,2.2857142857142856
bare,100,9,2,289,48,241,269,0.9307958477508651,42,227,14,6,0.75,0.875,0.9404600811907984,0.9783491204330176,0.36363636363636365
bare,100,99,2,289,48,241,271,0.9377162629757786,41,230,11,7,0.7884615384615384,0.8541666666666666,0.9541556866189819,0.9979922198519262,0.043795620437956206
bare,100,1,3,289,48,241,275,0.9515570934256056,47,228,13,1,0.7833333333333333,0.9791666666666666,0.9515570934256056,0.8339100346020761,3.4285714285714284
bare,100,9,3,289,48,241,278,0.9619377162629758,46,232,9,2,0.8363636363636363,0.9583333333333334,0.9625620207487596,0.9783491204330176,0.5783132530120482
bare,100,99,3,289,48,241,277,0.9584775086505191,42,235,6,6,0.875,0.875,0.9749027481490776,0.9979922198519262,0.08
bare,100,1,4,289,48,241,271,0.9377162629757786,42,229,12,6,0.7777777777777778,0.875,0.9377162629757786,0.8339100346020761,2.6666666666666665
bare,100,9,4,289,48,241,273,0.9446366782006921,40,233,8,8,0.8333333333333334,0.8333333333333334,0.963915200721696,0.9783491204330176,0.6
bare,100,99,4,289,48,241,275,0.9515570934256056,40,235,6,8,0.8695652173913043,0.8333333333333334,0.974819090642908,0.9979922198519262,0.07973421926910298
bare,100,1,5,290,48,242,284,0.9793103448275862,42,242,0,6,1.0,0.875,0.9793103448275862,0.8344827586206897,8.0
bare,100,9,5,290,48,242,282,0.9724137931034482,40,242,0,8,1.0,0.8333333333333334,0.9964061096136568,0.9784366576819407,6.0
bare,100,99,5,290,48,242,277,0.9551724137931035,35,242,0,13,1.0,0.7291666666666666,0.9994584687161543,0.9980004998750313,3.6923076923076925
bare,100,1,6,289,48,241,287,0.9930795847750865,46,241,0,2,1.0,0.9583333333333334,0.9930795847750865,0.8339100346020761,24.0
bare,100,9,6,289,48,241,285,0.986159169550173,44,241,0,4,1.0,0.9166666666666666,0.9981957600360848,0.9783491204330176,12.0
bare,100,99,6,289,48,241,283,0.9792387543252595,42,241,0,6,1.0,0.875,0.9997490274814907,0.9979922198519262,8.0
bare,100,1,7,289,48,241,276,0.9550173010380623,47,229,12,1,0.7966101694915254,0.9791666666666666,0.9550173010380623,0.8339100346020761,3.6923076923076925
bare,100,9,7,289,48,241,278,0.9619377162629758,45,233,8,3,0.8490566037735849,0.9375,0.9661705006765899,0.9783491204330176,0.64
bare,100,99,7,289,48,241,279,0.9653979238754326,42,237,4,6,0.9130434782608695,0.875,0.983184841259882,0.9979922198519262,0.11940298507462686
bare,100,1,8,289,48,241,270,0.9342560553633218,41,229,12,7,0.7735849056603774,0.8541666666666666,0.9342560553633218,0.8339100346020761,2.526315789473684
bare,100,9,8,289,48,241,269,0.9307958477508651,38,231,10,10,0.7916666666666666,0.7916666666666666,0.95489400090212,0.9783491204330176,0.48
bare,100,99,8,289,48,241,272,0.9411764705882353,36,236,5,12,0.8780487804878049,0.75,0.9787928221859706,0.9979922198519262,0.09467455621301775
bare,100,1,9,289,48,241,272,0.9411764705882353,40,232,9,8,0.8163265306122449,0.8333333333333334,0.9411764705882353,0.8339100346020761,2.823529411764706
bare,100,9,9,289,48,241,274,0.9480968858131488,39,235,6,9,0.8666666666666667,0.8125,0.9715832205683356,0.9783491204330176,0.7619047619047619
