version,description,n_words,fold,vocabulary_size,training_documents,training_spam,training_ham,testing_documents,correct,accuracy,TP,TN,FP,FN,spam_precision,spam_recall,prior_spam,prior_ham,spam_word_positions,ham_word_positions
lemm,"Lemmatized, stop-words included",500,10,500,2602,432,2170,291,288,0.9896907216494846,46,242,0,3,1.0,0.9387755102040817,0.1660261337432744,0.8339738662567256,181692,566135
lemm,"Lemmatized, stop-words included",1000,1,1000,2604,433,2171,289,278,0.9619377162629758,47,231,10,1,0.8245614035087719,0.9791666666666666,0.1662826420890937,0.8337173579109063,196758,698622
lemm,"Lemmatized, stop-words included",1000,2,1000,2604,433,2171,289,282,0.9757785467128027,47,235,6,1,0.8867924528301887,0.9791666666666666,0.1662826420890937,0.8337173579109063,198337,677609
lemm,"Lemmatized, stop-words included",1000,3,1000,2604,433,2171,289,279,0.9653979238754326,48,231,10,0,0.8275862068965517,1.0,0.1662826420890937,0.8337173579109063,185972,678870
lemm,"Lemmatized, stop-words included",1000,4,1000,2604,433,2171,289,280,0.9688581314878892,47,233,8,1,0.8545454545454545,0.9791666666666666,0.1662826420890937,0.8337173579109063,194847,678150
lemm,"Lemmatized, stop-words included",1000,5,1000,2603,433,2170,290,286,0.9862068965517241,44,242,0,4,1.0,0.9166666666666666,0.16634652324241261,0.8336534767575874,202244,678345
lemm,"Lemmatized, stop-words included",1000,6,1000,2604,433,2171,289,289,1.0,48,241,0,0,1.0,1.0,0.1662826420890937,0.8337173579109063,179425,667795
lemm,"Lemmatized, stop-words included",1000,7,1000,2604,433,2171,289,285,0.986159169550173,47,238,3,1,0.94,0.9791666666666666,0.1662826420890937,0.8337173579109063,192268,668101
lemm,"Lemmatized, stop-words included",1000,8,1000,2604,433,2171,289,276,0.9550173010380623,47,229,12,1,0.7966101694915254,0.9791666666666666,0.1662826420890937,0.8337173579109063,202902,693167
lemm,"Lemmatized, stop-words included",1000,9,1000,2604,433,2171,289,283,0.9792387543252595,42,241,0,6,1.0,0.875,0.1662826420890937,0.8337173579109063,195397,673470
lemm,"Lemmatized, stop-words included",1000,10,1000,2602,432,2170,291,288,0.9896907216494846,46,242,0,3,1.0,0.9387755102040817,0.1660261337432744,0.8339738662567256,204953,655041
