version,description,n_words,fold,vocabulary_size,training_documents,training_spam,training_ham,testing_documents,correct,accuracy,TP,TN,FP,FN,spam_precision,spam_recall,prior_spam,prior_ham,spam_word_positions,ham_word_positions
bare,"No lemmatization, stop-words included",100,3,100,2604,433,2171,289,275,0.9515570934256056,47,228,13,1,0.7833333333333333,0.9791666666666666,0.1662826420890937,0.8337173579109063,109118,371331
bare,"No lemmatization, stop-words included",100,4,100,2604,433,2171,289,271,0.9377162629757786,42,229,12,6,0.7777777777777778,0.875,0.1662826420890937,0.8337173579109063,114949,372858
bare,"No lemmatization, stop-words included",100,5,100,2603,433,2170,290,284,0.9793103448275862,42,242,0,6,1.0,0.875,0.16634652324241261,0.8336534767575874,118992,374193
bare,"No lemmatization, stop-words included",100,6,100,2604,433,2171,289,287,0.9930795847750865,46,241,0,2,1.0,0.9583333333333334,0.1662826420890937,0.8337173579109063,105380,367951
bare,"No lemmatization, stop-words included",100,7,100,2604,433,2171,289,276,0.9550173010380623,47,229,12,1,0.7966101694915254,0.9791666666666666,0.1662826420890937,0.8337173579109063,113475,366766
bare,"No lemmatization, stop-words included",100,8,100,2604,433,2171,289,270,0.9342560553633218,41,229,12,7,0.7735849056603774,0.8541666666666666,0.1662826420890937,0.8337173579109063,119273,379423
bare,"No lemmatization, stop-words included",100,9,100,2604,433,2171,289,272,0.9411764705882353,40,232,9,8,0.8163265306122449,0.8333333333333334,0.1662826420890937,0.8337173579109063,114699,370881
bare,"No lemmatization, stop-words included",100,10,100,2602,432,2170,291,284,0.9759450171821306,42,242,0,7,1.0,0.8571428571428571,0.1660261337432744,0.8339738662567256,120864,361834
bare,"No lemmatization, stop-words included",500,1,500,2604,433,2171,289,278,0.9619377162629758,48,230,11,0,0.8135593220338984,1.0,0.1662826420890937,0.8337173579109063,163305,563417
bare,"No lemmatization, stop-words included",500,2,500,2604,433,2171,289,279,0.9653979238754326,46,233,8,2,0.8518518518518519,0.9583333333333334,0.1662826420890937,0.8337173579109063,164801,546371
bare,"No lemmatization, stop-words included",500,3,500,2604,433,2171,289,275,0.9515570934256056,48,227,14,0,0.7741935483870968,1.0,0.1662826420890937,0.8337173579109063,153563,548104
bare,"No lemmatization, stop-words included",500,4,500,2604,433,2171,289,279,0.9653979238754326,47,232,9,1,0.8392857142857143,0.9791666666666666,0.1662826420890937,0.8337173579109063,162315,546884
