version,n_words,training_size_percent,lambda,fold,training_documents,vocabulary_size,testing_documents,number_spam,number_ham,correct,accuracy,TP,TN,FP,FN,spam_precision,spam_recall,weighted_accuracy,TCR
stop,all,10,1,1,261,15072,289,48,241,283,0.9792387543252595,46,237,4,2,0.92,0.9583333333333334,0.9792387543252595,8.0
stop,all,10,9,1,261,15072,289,48,241,285,0.986159169550173,46,239,2,2,0.9583333333333334,0.9583333333333334,0.990978800180424,2.4
stop,all,10,99,1,261,15072,289,48,241,285,0.986159169550173,46,239,2,2,0.9583333333333334,0.9583333333333334,0.9916342493830259,0.24
stop,all,10,1,2,261,14731,289,48,241,287,0.9930795847750865,47,240,1,1,0.9791666666666666,0.9791666666666666,0.9930795847750865,24.0
stop,all,10,9,2,261,14731,289,48,241,287,0.9930795847750865,47,240,1,1,0.9791666666666666,0.9791666666666666,0.995489400090212,4.8
stop,all,10,99,2,261,14731,289,48,241,287,0.9930795847750865,47,240,1,1,0.9791666666666666,0.9791666666666666,0.995817124691513,0.48
stop,all,10,1,3,261,14860,289,48,241,285,0.986159169550173,47,238,3,1,0.94,0.9791666666666666,0.986159169550173,12.0
stop,all,10,9,3,261,14860,289,48,241,285,0.986159169550173,47,238,3,1,0.94,0.9791666666666666,0.9873703202525936,1.7142857142857142
stop,all,10,99,3,261,14860,289,48,241,284,0.9826989619377162,46,238,3,2,0.9387755102040817,0.9583333333333334,0.9874932028276238,0.1605351170568562
stop,all,10,1,4,261,14133,289,48,241,285,0.986159169550173,47,238,3,1,0.94,0.9791666666666666,0.986159169550173,12.0
stop,all,10,9,4,261,14133,289,48,241,284,0.9826989619377162,46,238,3,2,0.9387755102040817,0.9583333333333334,0.9869192602616148,1.6551724137931034
stop,all,10,99,4,261,14133,289,48,241,284,0.9826989619377162,46,238,3,2,0.9387755102040817,0.9583333333333334,0.9874932028276238,0.1605351170568562
stop,all,10,1,5,261,14712,290,48,242,287,0.9896551724137931,45,242,0,3,1.0,0.9375,0.9896551724137931,16.0
stop,all,10,9,5,261,14712,290,48,242,283,0.9758620689655172,41,242,0,7,1.0,0.8541666666666666,0.9968553459119497,6.857142857142857
stop,all,10,99,5,261,14712,290,48,242,282,0.9724137931034482,40,242,0,8,1.0,0.8333333333333334,0.9996667499791718,6.0
stop,all,10,1,6,261,14569,289,48,241,285,0.986159169550173,44,241,0,4,1.0,0.9166666666666666,0.986159169550173,12.0
stop,all,10,9,6,261,14569,289,48,241,284,0.9826989619377162,43,241,0,5,1.0,0.8958333333333334,0.997744700045106,9.6
stop,all,10,99,6,261,14569,289,48,241,284,0.9826989619377162,43,241,0,5,1.0,0.8958333333333334,0.9997908562345756,9.6
stop,all,10,1,7,261,15037,289,48,241,286,0.9896193771626297,47,239,2,1,0.9591836734693877,0.9791666666666666,0.9896193771626297,16.0
stop,all,10,9,7,261,15037,289,48,241,286,0.9896193771626297,47,239,2,1,0.9591836734693877,0.9791666666666666,0.9914298601714028,2.526315789473684
stop,all,10,99,7,261,15037,289,48,241,286,0.9896193771626297,46,240,1,2,0.9787234042553191,0.9583333333333334,0.9957752959384281,0.4752475247524752
stop,all,10,1,8,261,15272,289,48,241,285,0.986159169550173,47,238,3,1,0.94,0.9791666666666666,0.986159169550173,12.0
stop,all,10,9,8,261,15272,289,48,241,285,0.986159169550173,47,238,3,1,0.94,0.9791666666666666,0.9873703202525936,1.7142857142857142
stop,all,10,99,8,261,15272,289,48,241,284,0.9826989619377162,45,239,2,3,0.9574468085106383,0.9375,0.991592420629941,0.23880597014925373
stop,all,10,1,9,261,14516,289,48,241,281,0.972318339100346,40,241,0,8,1.0,0.8333333333333334,0.972318339100346,6.0
