Version,N,Precision,Recall,WAcc1,WAcc9,WAcc99,TCR9,TCR99
Bare,all,96.35%,98.75%,99.03%,99.24%,99.38%,2.86,0.32
Stop,all,97.71%,97.51%,99.20%,99.50%,99.58%,4.33,0.48
Lemm,all,96.49%,97.30%,99.00%,99.25%,99.29%,2.90,0.28
Lemm_Stop,all,97.49%,96.88%,99.03%,99.45%,99.66%,3.91,0.60
