version,n_words,lambda,fold,testing_documents,number_spam,number_ham,correct,accuracy,TP,TN,FP,FN,spam_precision,spam_recall,weighted_accuracy,baseline_weighted_accuracy,TCR
lemm_stop,50,1,1,289,48,241,275,0.9515570934256056,42,233,8,6,0.84,0.875,0.9515570934256056,0.8339100346020761,3.4285714285714284
lemm_stop,50,9,1,289,48,241,272,0.9411764705882353,35,237,4,13,0.8974358974358975,0.7291666666666666,0.9778980604420388,0.9783491204330176,0.9795918367346939
lemm_stop,50,99,1,289,48,241,269,0.9307958477508651,28,241,0,20,1.0,0.5833333333333334,0.9991634249383026,0.9979922198519262,2.4
lemm_stop,50,1,2,289,48,241,275,0.9515570934256056,44,231,10,4,0.8148148148148148,0.9166666666666666,0.9515570934256056,0.8339100346020761,3.4285714285714284
lemm_stop,50,9,2,289,48,241,272,0.9411764705882353,38,234,7,10,0.8444444444444444,0.7916666666666666,0.9670726206585476,0.9783491204330176,0.6575342465753424
lemm_stop,50,99,2,289,48,241,270,0.9342560553633218,31,239,2,17,0.9393939393939394,0.6458333333333334,0.9910068180867528,0.9979922198519262,0.22325581395348837
lemm_stop,50,1,3,289,48,241,275,0.9515570934256056,43,232,9,5,0.8269230769230769,0.8958333333333334,0.9515570934256056,0.8339100346020761,3.4285714285714284
lemm_stop,50,9,3,289,48,241,275,0.9515570934256056,39,236,5,9,0.8863636363636364,0.8125,0.9756427604871448,0.9783491204330176,0.8888888888888888
lemm_stop,50,99,3,289,48,241,275,0.9515570934256056,37,238,3,11,0.925,0.7708333333333334,0.9871167440498598,0.9979922198519262,0.15584415584415584
lemm_stop,50,1,4,289,48,241,272,0.9411764705882353,37,235,6,11,0.8604651162790697,0.7708333333333334,0.9411764705882353,0.8339100346020761,2.823529411764706
lemm_stop,50,9,4,289,48,241,271,0.9377162629757786,34,237,4,14,0.8947368421052632,0.7083333333333334,0.97744700045106,0.9783491204330176,0.96
lemm_stop,50,99,4,289,48,241,266,0.9204152249134948,29,237,4,19,0.8787878787878788,0.6041666666666666,0.9826410674697788,0.9979922198519262,0.11566265060240964
lemm_stop,50,1,5,290,48,242,270,0.9310344827586207,29,241,1,19,0.9666666666666667,0.6041666666666666,0.9310344827586207,0.8344827586206897,2.4
lemm_stop,50,9,5,290,48,242,267,0.9206896551724137,26,241,1,22,0.9629629629629629,0.5416666666666666,0.9860736747529201,0.9784366576819407,1.5483870967741935
lemm_stop,50,99,5,290,48,242,262,0.903448275862069,20,242,0,28,1.0,0.4166666666666667,0.9988336249271016,0.9980004998750313,1.7142857142857142
lemm_stop,50,1,6,289,48,241,282,0.9757785467128027,42,240,1,6,0.9767441860465116,0.875,0.9757785467128027,0.8339100346020761,6.857142857142857
lemm_stop,50,9,6,289,48,241,279,0.9653979238754326,39,240,1,9,0.975,0.8125,0.9918809201623816,0.9783491204330176,2.6666666666666665
lemm_stop,50,99,6,289,48,241,275,0.9515570934256056,35,240,1,13,0.9722222222222222,0.7291666666666666,0.9953151796544945,0.9979922198519262,0.42857142857142855
lemm_stop,50,1,7,289,48,241,271,0.9377162629757786,35,236,5,13,0.875,0.7291666666666666,0.9377162629757786,0.8339100346020761,2.6666666666666665
lemm_stop,50,9,7,289,48,241,271,0.9377162629757786,31,240,1,17,0.96875,0.6458333333333334,0.9882724402345512,0.9783491204330176,1.8461538461538463
lemm_stop,50,99,7,289,48,241,269,0.9307958477508651,29,240,1,19,0.9666666666666667,0.6041666666666666,0.9950642071359853,0.9979922198519262,0.4067796610169492
lemm_stop,50,1,8,289,48,241,267,0.9238754325259516,38,229,12,10,0.76,0.7916666666666666,0.9238754325259516,0.8339100346020761,2.1818181818181817
lemm_stop,50,9,8,289,48,241,259,0.8961937716262975,27,232,9,21,0.75,0.5625,0.9539918809201624,0.9783491204330176,0.47058823529411764
lemm_stop,50,99,8,289,48,241,260,0.8996539792387543,24,236,5,24,0.8275862068965517,0.5,0.9782908771489522,0.9979922198519262,0.09248554913294797
lemm_stop,50,1,9,289,48,241,278,0.9619377162629758,40,238,3,8,0.9302325581395349,0.8333333333333334,0.9619377162629758,0.8339100346020761,4.363636363636363
lemm_stop,50,9,9,289,48,241,271,0.9377162629757786,32,239,2,16,0.9411764705882353,0.6666666666666666,0.9846639603067208,0.9783491204330176,1.411764705882353
lemm_stop,50,99,9,289,48,241,265,0.916955017301038,25,240,1,23,0.9615384615384616,0.5208333333333334,0.9948968921236458,0.9979922198519262,0.39344262295081966
lemm_stop,50,1,10,291,49,242,285,0.979381443298969,44,241,1,5,0.9777777777777777,0.8979591836734694,0.979381443298969,0.8316151202749141,8.166666666666666
