version,n_words,lambda,fold,testing_documents,number_spam,number_ham,correct,accuracy,TP,TN,FP,FN,spam_precision,spam_recall,weighted_accuracy,baseline_weighted_accuracy,TCR
stop,50,1,8,289,48,241,267,0.9238754325259516,38,229,12,10,0.76,0.7916666666666666,0.9238754325259516,0.8339100346020761,2.1818181818181817
stop,50,9,8,289,48,241,265,0.916955017301038,30,235,6,18,0.8333333333333334,0.625,0.9675236806495264,0.9783491204330176,0.6666666666666666
stop,50,99,8,289,48,241,266,0.9204152249134948,27,239,2,21,0.9310344827586207,0.5625,0.9908395030744134,0.9979922198519262,0.2191780821917808
stop,50,1,9,289,48,241,277,0.9584775086505191,41,236,5,7,0.8913043478260869,0.8541666666666666,0.9584775086505191,0.8339100346020761,4.0
stop,50,9,9,289,48,241,273,0.9446366782006921,35,238,3,13,0.9210526315789473,0.7291666666666666,0.981957600360848,0.9783491204330176,1.2
stop,50,99,9,289,48,241,271,0.9377162629757786,30,241,0,18,1.0,0.625,0.9992470824444724,0.9979922198519262,2.6666666666666665
stop,50,1,10,291,49,242,285,0.979381443298969,43,242,0,6,1.0,0.8775510204081632,0.979381443298969,0.8316151202749141,8.166666666666666
stop,50,9,10,291,49,242,278,0.9553264604810997,36,242,0,13,1.0,0.7346938775510204,0.9941625505163898,0.9779973057925461,3.769230769230769
stop,50,99,10,291,49,242,274,0.9415807560137457,32,242,0,17,1.0,0.6530612244897959,0.999291873203649,0.9979589286458116,2.8823529411764706
stop,100,1,1,289,48,241,276,0.9550173010380623,48,228,13,0,0.7868852459016393,1.0,0.9550173010380623,0.8339100346020761,3.6923076923076925
stop,100,9,1,289,48,241,283,0.9792387543252595,46,237,4,2,0.92,0.9583333333333334,0.9828597203428056,0.9783491204330176,1.263157894736842
stop,100,99,1,289,48,241,284,0.9826989619377162,44,240,1,4,0.9777777777777777,0.9166666666666666,0.9956916384322584,0.9979922198519262,0.46601941747572817
stop,100,1,2,289,48,241,277,0.9584775086505191,46,231,10,2,0.8214285714285714,0.9583333333333334,0.9584775086505191,0.8339100346020761,4.0
stop,100,9,2,289,48,241,282,0.9757785467128027,45,237,4,3,0.9183673469387755,0.9375,0.9824086603518268,0.9783491204330176,1.2307692307692308
stop,100,99,2,289,48,241,281,0.972318339100346,42,239,2,6,0.9545454545454546,0.875,0.9914669343706864,0.9979922198519262,0.23529411764705882
stop,100,1,3,289,48,241,277,0.9584775086505191,44,233,8,4,0.8461538461538461,0.9166666666666666,0.9584775086505191,0.8339100346020761,4.0
stop,100,9,3,289,48,241,278,0.9619377162629758,43,235,6,5,0.8775510204081632,0.8958333333333334,0.9733874605322508,0.9783491204330176,0.8135593220338984
stop,100,99,3,289,48,241,277,0.9584775086505191,40,237,4,8,0.9090909090909091,0.8333333333333334,0.9831011837537122,0.9979922198519262,0.1188118811881188
stop,100,1,4,289,48,241,278,0.9619377162629758,45,233,8,3,0.8490566037735849,0.9375,0.9619377162629758,0.8339100346020761,4.363636363636363
stop,100,9,4,289,48,241,281,0.972318339100346,42,239,2,6,0.9545454545454546,0.875,0.9891745602165088,0.9783491204330176,2.0
stop,100,99,4,289,48,241,279,0.9653979238754326,40,239,2,8,0.9523809523809523,0.8333333333333334,0.9913832768645167,0.9979922198519262,0.23300970873786409
stop,100,1,5,290,48,242,282,0.9724137931034482,40,242,0,8,1.0,0.8333333333333334,0.9724137931034482,0.8344827586206897,6.0
stop,100,9,5,290,48,242,274,0.9448275862068966,32,242,0,16,1.0,0.6666666666666666,0.9928122192273136,0.9784366576819407,3.0
stop,100,99,5,290,48,242,271,0.9344827586206896,29,242,0,19,1.0,0.6041666666666666,0.9992085312005332,0.9980004998750313,2.526315789473684
stop,100,1,6,289,48,241,286,0.9896193771626297,46,240,1,2,0.9787234042553191,0.9583333333333334,0.9896193771626297,0.8339100346020761,16.0
stop,100,9,6,289,48,241,283,0.9792387543252595,43,240,1,5,0.9772727272727273,0.8958333333333334,0.9936851601262968,0.9783491204330176,3.4285714285714284
stop,100,99,6,289,48,241,282,0.9757785467128027,42,240,1,6,0.9767441860465116,0.875,0.9956079809260886,0.9979922198519262,0.45714285714285713
stop,100,1,7,289,48,241,283,0.9792387543252595,46,237,4,2,0.92,0.9583333333333334,0.9792387543252595,0.8339100346020761,8.0
stop,100,9,7,289,48,241,276,0.9550173010380623,38,238,3,10,0.926829268292683,0.7916666666666666,0.9833107803337844,0.9783491204330176,1.2972972972972974
stop,100,99,7,289,48,241,273,0.9446366782006921,34,239,2,14,0.9444444444444444,0.7083333333333334,0.9911323043460074,0.9979922198519262,0.22641509433962265
stop,100,1,8,289,48,241,274,0.9480968858131488,43,231,10,5,0.8113207547169812,0.8958333333333334,0.9480968858131488,0.8339100346020761,3.2
stop,100,9,8,289,48,241,277,0.9584775086505191,42,235,6,6,0.875,0.875,0.972936400541272,0.9783491204330176,0.8
stop,100,99,8,289,48,241,275,0.9515570934256056,36,239,2,12,0.9473684210526315,0.75,0.9912159618521772,0.9979922198519262,0.22857142857142856
stop,100,1,9,289,48,241,276,0.9550173010380623,39,237,4,9,0.9069767441860465,0.8125,0.9550173010380623,0.8339100346020761,3.6923076923076925
stop,100,9,9,289,48,241,277,0.9584775086505191,38,239,2,10,0.95,0.7916666666666666,0.9873703202525936,0.9783491204330176,1.7142857142857142
stop,100,99,9,289,48,241,274,0.9480968858131488,34,240,1,14,0.9714285714285714,0.7083333333333334,0.9952733509014097,0.9979922198519262,0.4247787610619469
stop,100,1,10,291,49,242,286,0.9828178694158075,44,242,0,5,1.0,0.8979591836734694,0.9828178694158075,0.8316151202749141,9.8
stop,100,9,10,291,49,242,284,0.9759450171821306,42,242,0,7,1.0,0.8571428571428571,0.9968567579703638,0.9779973057925461,7.0
stop,100,99,10,291,49,242,278,0.9553264604810997,36,242,0,13,1.0,0.7346938775510204,0.9994584912733786,0.9979589286458116,3.769230769230769
stop,500,1,1,289,48,241,278,0.9619377162629758,47,231,10,1,0.8245614035087719,0.9791666666666666,0.9619377162629758,0.8339100346020761,4.363636363636363
stop,500,9,1,289,48,241,282,0.9757785467128027,47,235,6,1,0.8867924528301887,0.9791666666666666,0.975191700496166,0.9783491204330176,0.8727272727272727
stop,500,99,1,289,48,241,283,0.9792387543252595,47,236,5,1,0.9038461538461539,0.9791666666666666,0.9792529384699042,0.9979922198519262,0.0967741935483871
stop,500,1,2,289,48,241,283,0.9792387543252595,47,236,5,1,0.9038461538461539,0.9791666666666666,0.9792387543252595,0.8339100346020761,8.0
stop,500,9,2,289,48,241,285,0.986159169550173,47,238,3,1,0.94,0.9791666666666666,0.9873703202525936,0.9783491204330176,1.7142857142857142
stop,500,99,2,289,48,241,286,0.9896193771626297,47,239,2,1,0.9591836734693877,0.9791666666666666,0.9916760781361108,0.9979922198519262,0.24120603015075376
stop,500,1,3,289,48,241,283,0.9792387543252595,47,236,5,1,0.9038461538461539,0.9791666666666666,0.9792387543252595,0.8339100346020761,8.0
stop,500,9,3,289,48,241,283,0.9792387543252595,47,236,5,1,0.9038461538461539,0.9791666666666666,0.9792512404149752,0.9783491204330176,1.0434782608695652
stop,500,99,3,289,48,241,285,0.986159169550173,47,238,3,1,0.94,0.9791666666666666,0.9875350315807085,0.9979922198519262,0.1610738255033557
stop,500,1,4,289,48,241,284,0.9826989619377162,47,237,4,1,0.9215686274509803,0.9791666666666666,0.9826989619377162,0.8339100346020761,9.6
stop,500,9,4,289,48,241,284,0.9826989619377162,47,237,4,1,0.9215686274509803,0.9791666666666666,0.9833107803337844,0.9783491204330176,1.2972972972972974
stop,500,99,4,289,48,241,286,0.9896193771626297,47,239,2,1,0.9591836734693877,0.9791666666666666,0.9916760781361108,0.9979922198519262,0.24120603015075376
stop,500,1,5,290,48,242,283,0.9758620689655172,41,242,0,7,1.0,0.8541666666666666,0.9758620689655172,0.8344827586206897,6.857142857142857
stop,500,9,5,290,48,242,281,0.9689655172413794,39,242,0,9,1.0,0.8125,0.9959568733153639,0.9784366576819407,5.333333333333333
stop,500,99,5,290,48,242,279,0.9620689655172414,37,242,0,11,1.0,0.7708333333333334,0.9995417812213613,0.9980004998750313,4.363636363636363
stop,500,1,6,289,48,241,288,0.9965397923875432,47,241,0,1,1.0,0.9791666666666666,0.9965397923875432,0.8339100346020761,48.0
stop,500,9,6,289,48,241,287,0.9930795847750865,46,241,0,2,1.0,0.9583333333333334,0.9990978800180425,0.9783491204330176,24.0
stop,500,99,6,289,48,241,287,0.9930795847750865,46,241,0,2,1.0,0.9583333333333334,0.9999163424938302,0.9979922198519262,24.0
stop,500,1,7,289,48,241,286,0.9896193771626297,47,239,2,1,0.9591836734693877,0.9791666666666666,0.9896193771626297,0.8339100346020761,16.0
stop,500,9,7,289,48,241,287,0.9930795847750865,47,240,1,1,0.9791666666666666,0.9791666666666666,0.995489400090212,0.9783491204330176,4.8
stop,500,99,7,289,48,241,287,0.9930795847750865,46,241,0,2,1.0,0.9583333333333334,0.9999163424938302,0.9979922198519262,24.0
stop,500,1,8,289,48,241,279,0.9653979238754326,46,233,8,2,0.8518518518518519,0.9583333333333334,0.9653979238754326,0.8339100346020761,4.8
stop,500,9,8,289,48,241,280,0.9688581314878892,45,235,6,3,0.8823529411764706,0.9375,0.9742895805142084,0.9783491204330176,0.8421052631578947
stop,500,99,8,289,48,241,279,0.9653979238754326,43,236,5,5,0.8958333333333334,0.8958333333333334,0.9790856234575648,0.9979922198519262,0.096
stop,500,1,9,289,48,241,282,0.9757785467128027,42,240,1,6,0.9767441860465116,0.875,0.9757785467128027,0.8339100346020761,6.857142857142857
stop,500,9,9,289,48,241,282,0.9757785467128027,42,240,1,6,0.9767441860465116,0.875,0.993234100135318,0.9783491204330176,3.2
stop,500,99,9,289,48,241,279,0.9653979238754326,39,240,1,9,0.975,0.8125,0.995482494666834,0.9979922198519262,0.4444444444444444
stop,500,1,10,291,49,242,288,0.9896907216494846,46,242,0,3,1.0,0.9387755102040817,0.9896907216494846,0.8316151202749141,16.333333333333332
stop,500,9,10,291,49,242,287,0.9862542955326461,45,242,0,4,1.0,0.9183673469387755,0.9982038616973506,0.9779973057925461,12.25
stop,500,99,10,291,49,242,285,0.979381443298969,43,242,0,6,1.0,0.8775510204081632,0.9997500728954055,0.9979589286458116,8.166666666666666
stop,1000,1,1,289,48,241,279,0.9653979238754326,47,232,9,1,0.8392857142857143,0.9791666666666666,0.9653979238754326,0.8339100346020761,4.8
stop,1000,9,1,289,48,241,284,0.9826989619377162,47,237,4,1,0.9215686274509803,0.9791666666666666,0.9833107803337844,0.9783491204330176,1.2972972972972974
stop,1000,99,1,289,48,241,285,0.986159169550173,46,239,2,2,0.9583333333333334,0.9583333333333334,0.9916342493830259,0.9979922198519262,0.24
stop,1000,1,2,289,48,241,286,0.9896193771626297,47,239,2,1,0.9591836734693877,0.9791666666666666,0.9896193771626297,0.8339100346020761,16.0
stop,1000,9,2,289,48,241,286,0.9896193771626297,47,239,2,1,0.9591836734693877,0.9791666666666666,0.9914298601714028,0.9783491204330176,2.526315789473684
stop,1000,99,2,289,48,241,285,0.986159169550173,46,239,2,2,0.9583333333333334,0.9583333333333334,0.9916342493830259,0.9979922198519262,0.24
stop,1000,1,3,289,48,241,286,0.9896193771626297,47,239,2,1,0.9591836734693877,0.9791666666666666,0.9896193771626297,0.8339100346020761,16.0
stop,1000,9,3,289,48,241,286,0.9896193771626297,47,239,2,1,0.9591836734693877,0.9791666666666666,0.9914298601714028,0.9783491204330176,2.526315789473684
stop,1000,99,3,289,48,241,286,0.9896193771626297,47,239,2,1,0.9591836734693877,0.9791666666666666,0.9916760781361108,0.9979922198519262,0.24120603015075376
stop,1000,1,4,289,48,241,287,0.9930795847750865,48,239,2,0,0.96,1.0,0.9930795847750865,0.8339100346020761,24.0
stop,1000,9,4,289,48,241,288,0.9965397923875432,48,240,1,0,0.9795918367346939,1.0,0.9959404600811907,0.9783491204330176,5.333333333333333
stop,1000,99,4,289,48,241,287,0.9930795847750865,47,240,1,1,0.9791666666666666,0.9791666666666666,0.995817124691513,0.9979922198519262,0.48
stop,1000,1,5,290,48,242,285,0.9827586206896551,43,242,0,5,1.0,0.8958333333333334,0.9827586206896551,0.8344827586206897,9.6
stop,1000,9,5,290,48,242,282,0.9724137931034482,40,242,0,8,1.0,0.8333333333333334,0.9964061096136568,0.9784366576819407,6.0
stop,1000,99,5,290,48,242,281,0.9689655172413794,39,242,0,9,1.0,0.8125,0.9996250937265684,0.9980004998750313,5.333333333333333
stop,1000,1,6,289,48,241,289,1.0,48,241,0,0,1.0,1.0,1.0,0.8339100346020761,inf
stop,1000,9,6,289,48,241,289,1.0,48,241,0,0,1.0,1.0,1.0,0.9783491204330176,inf
stop,1000,99,6,289,48,241,289,1.0,48,241,0,0,1.0,1.0,1.0,0.9979922198519262,inf
stop,1000,1,7,289,48,241,285,0.986159169550173,47,238,3,1,0.94,0.9791666666666666,0.986159169550173,0.8339100346020761,12.0
stop,1000,9,7,289,48,241,287,0.9930795847750865,47,240,1,1,0.9791666666666666,0.9791666666666666,0.995489400090212,0.9783491204330176,4.8
stop,1000,99,7,289,48,241,286,0.9896193771626297,46,240,1,2,0.9787234042553191,0.9583333333333334,0.9957752959384281,0.9979922198519262,0.4752475247524752
stop,1000,1,8,289,48,241,280,0.9688581314878892,47,233,8,1,0.8545454545454545,0.9791666666666666,0.9688581314878892,0.8339100346020761,5.333333333333333
stop,1000,9,8,289,48,241,282,0.9757785467128027,46,236,5,2,0.9019607843137255,0.9583333333333334,0.9788001804239964,0.9783491204330176,1.0212765957446808
stop,1000,99,8,289,48,241,282,0.9757785467128027,46,236,5,2,0.9019607843137255,0.9583333333333334,0.9792111097168194,0.9979922198519262,0.096579476861167
stop,1000,1,9,289,48,241,283,0.9792387543252595,42,241,0,6,1.0,0.875,0.9792387543252595,0.8339100346020761,8.0
stop,1000,9,9,289,48,241,281,0.972318339100346,40,241,0,8,1.0,0.8333333333333334,0.9963915200721696,0.9783491204330176,6.0
stop,1000,99,9,289,48,241,281,0.972318339100346,40,241,0,8,1.0,0.8333333333333334,0.9996653699753211,0.9979922198519262,6.0
stop,1000,1,10,291,49,242,288,0.9896907216494846,46,242,0,3,1.0,0.9387755102040817,0.9896907216494846,0.8316151202749141,16.333333333333332
stop,1000,9,10,291,49,242,288,0.9896907216494846,46,242,0,3,1.0,0.9387755102040817,0.998652896273013,0.9779973057925461,16.333333333333332
stop,1000,99,10,291,49,242,287,0.9862542955326461,45,242,0,4,1.0,0.9183673469387755,0.9998333819302704,0.9979589286458116,12.25
stop,5000,1,1,289,48,241,287,0.9930795847750865,47,240,1,1,0.9791666666666666,0.9791666666666666,0.9930795847750865,0.8339100346020761,24.0
stop,5000,9,1,289,48,241,287,0.9930795847750865,47,240,1,1,0.9791666666666666,0.9791666666666666,0.995489400090212,0.9783491204330176,4.8
stop,5000,99,1,289,48,241,287,0.9930795847750865,47,240,1,1,0.9791666666666666,0.9791666666666666,0.995817124691513,0.9979922198519262,0.48
stop,5000,1,2,289,48,241,283,0.9792387543252595,47,236,5,1,0.9038461538461539,0.9791666666666666,0.9792387543252595,0.8339100346020761,8.0
stop,5000,9,2,289,48,241,285,0.986159169550173,47,238,3,1,0.94,0.9791666666666666,0.9873703202525936,0.9783491204330176,1.7142857142857142
stop,5000,99,2,289,48,241,285,0.986159169550173,47,238,3,1,0.94,0.9791666666666666,0.9875350315807085,0.9979922198519262,0.1610738255033557
